Pitcher,FB Strikes,FB Balls,FBK%,CB Strikes,CB Balls,CB K%,Sl Strikes,Sl Balls,Sl K%,Ch Strikes,Ch Balls,Ch K%,Other K-Label,Other Balls,OtherK%,
B. Allen,12,8,60.00%,,,#DIV/0!,19,6,76.00%,1,7,12.50%,,,#DIV/0!,
C. Allen,22,12,64.71%,3,2,60.00%,9,5,64.29%,7,6,53.85%,,,#DIV/0!,
Baker,14,6,70.00%,11,3,78.57%,,,#DIV/0!,17,5,77.27%,2,1,66.67%,Cutter
Bell,23,23,50.00%,6,6,50.00%,2,3,40.00%,5,5,50.00%,,,#DIV/0!,
Brennan,8,2,80.00%,5,0,100.00%,4,1,80.00%,3,3,50.00%,2,,100.00%,Cutter
Cindric,10,8,55.56%,1,2,33.33%,10,3,76.92%,5,2,71.43%,,,#DIV/0!,
Eschliman,24,10,70.59%,3,14,17.65%,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,
Harkins,14,12,53.85%,0,1,0.00%,8,8,50.00%,1,0,100.00%,,,#DIV/0!,
Hulst,6,9,40.00%,1,1,50.00%,18,15,54.55%,,1,0.00%,,,#DIV/0!,
Johnson,17,10,62.96%,8,7,53.33%,,,#DIV/0!,3,2,60.00%,2,2,50.00%,Cutter
Plunkett,8,6,57.14%,2,1,66.67%,1,2,33.33%,2,2,50.00%,,,#DIV/0!,
Rattie,5,0,100.00%,,,#DIV/0!,4,4,50.00%,3,2,60.00%,,,#DIV/0!,
Robman,21,10,67.74%,0,1,0.00%,9,3,75.00%,2,2,50.00%,,,#DIV/0!,
Moriarty,9,14,39.13%,0,0,#DIV/0!,7,4,63.64%,4,6,40.00%,,,#DIV/0!,
Seay,26,10,72.22%,0,0,#DIV/0!,9,18,33.33%,7,4,63.64%,,,#DIV/0!,
Spero,29,19,60.42%,0,1,0.00%,5,5,50.00%,0,0,#DIV/0!,,,#DIV/0!,
Batalucco,20,14,58.82%,8,10,44.44%,3,5,37.50%,0,0,#DIV/0!,0,0,#DIV/0!,
Blackwell,23,19,54.76%,0,0,#DIV/0!,12,9,57.14%,2,2,50.00%,,,#DIV/0!,
Decker,19,13,59.38%,16,10,61.54%,0,0,#DIV/0!,2,2,50.00%,,,#DIV/0!,
Tokumaru,11,4,73.33%,8,10,44.44%,2,0,100.00%,7,2,77.78%,,,#DIV/0!,
Crockett,23,15,60.53%,1,0,100.00%,17,17,50.00%,0,0,#DIV/0!,,,#DIV/0!,
Lee,15,14,51.72%,17,8,68.00%,0,0,#DIV/0!,13,5,72.22%,8,4,66.67%,Split
